site,route,date,pax,price,currency,meta,region,device,ts
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n282,732원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-21T16:04:00
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,732원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T16:04:04
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,732원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-21T16:04:20
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n282,732원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-21T16:04:27
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n281,547원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-21T17:00:56
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""찜하기\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n281,547원\n일반석\n선택"", ""card_index"": 1, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T17:01:08
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n281,547원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-21T17:01:19
kayak,ICN-BWN,2025-11-12,1,302200,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n3개 사이트\n일반석\n302,200원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-21T17:01:43
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n281,547원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T17:31:03
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n281,547원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-21T17:31:09
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n281,547원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-21T17:31:23
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n281,547원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-21T17:31:29
kayak,ICN-BWN,2025-11-12,1,281547,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n281,547원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T18:00:58
